Experiment,Sample_Type,Cell Line,Karyotype,Timepoint,Treatment,Tryptophan,L-Kynurenine,Kynurenic acid,L-Alanine,Picolinic acid,Nicotinamide,Indole-3-acetaldehyde,5-Hydroxy-L-tryptophan,Indole,Serotonin,Anthranilate,Xanthurenic acid,L-Arginine,3-Hydroxyanthranilate
4,Cells,5659,D21,0,IFN-,8856949.821,491986.6156,,173480.9,,360243.1844,213042.8584,734570.419,1234194.655,2496580.638,,61979.5195,332913.4062,31760.5645
4,Cells,2036,D21,0,IFN-,16640940.11,11294813.22,,265651.2,,445610,224548.336,187244.339,2137478.275,2762067.198,,189463,38961.0898,13832.0205
4,Cells,8447,D21,0,IFN-,9185571.992,3198897.625,,177127.7,,353197.1781,182299.082,168861.5114,1461331.225,2702312.249,,0,60315.5938,20572.8418
4,Cells,5397,T21,0,IFN-,4901870.108,1532376.597,,159205.2,,402580.7188,331877.9844,1672802.531,839837.56,2553085.557,,53043.543,60583.6289,60811.1211
4,Cells,2767,T21,0,IFN-,14710069.48,5179997.5,,231003.6,,386402.1562,385465.8984,263168.9978,1646234.4,2280452.263,,0,15669.5938,66538.4922
4,Cells,4616,T21,0,IFN-,14347706.61,1160418.847,,169332,,465123.2062,248401.3477,501889.4508,1538024.825,2375726.952,,58618.1562,23658.9844,20899.1602
4,Cells,5659,D21,1,IFN+,9720723.138,342697.1991,,132830,,555569.0312,396783.1963,753655.5338,951128.46,401428.3625,,109295.2734,524617.9375,32970.7539
4,Cells,2036,D21,1,IFN+,8369941.844,9777062.845,,262745.2,,366231.7562,257988.4727,138335.5024,2018973.505,2622944.414,,240822.375,11572.1484,53146.1133
4,Cells,8447,D21,1,IFN+,4976423.257,740868.7813,,117234.3,,237645.0625,243652.7082,311567.7422,1316896.43,378731.4174,,41064.3711,79274.3125,9017.4951
4,Cells,5397,T21,1,IFN+,4357903.369,1165458.688,,158153.4,,311800.375,331010.7929,1365892.194,812889.14,2787318.07,,9926.6182,45842.6836,22865.7988
4,Cells,2767,T21,1,IFN+,8254728.92,5494688.105,,173575.4,,319546.8125,384508.3417,181451.964,1402552.005,2322967.266,,33473.2383,7809.6577,33045.2852
4,Cells,4616,T21,1,IFN+,6860197.842,3376085.3,,126052.4,,508522.9188,229834.209,371437.5729,976065.49,2409381.354,,40930.9727,11800.124,36411.5273
4,Cells,5659,D21,1,IFN-,9012603.195,365981.4446,,134302.1,,220984.7969,256084.9219,833338.0325,1280134.805,2332515.409,,49953.0742,458462.625,55302
4,Cells,2036,D21,1,IFN-,8161745.991,5237598.432,,222609.7,,354553.8438,207149.0756,162866.0502,1783583.385,2492852.74,,0,7633.6343,10664.0986
