Plot,Batch,Mouse_ID,Sex,Strain,Genotype,Treatment,Kynurenine
A,1,47,F,Dp16,D21,None,169922.1
A,2,50,F,Dp16,T21,None,273003.5
A,1,55,F,Dp10,T21,None,385660.4
A,1,57,F,Dp10,T21,None,99947.06
A,1,58,F,Dp10,T21,None,426434
A,1,66,F,Dp16,T21,None,367471.1
A,2,68,F,Dp16,D21,None,508233.2
A,1,71,F,Dp16,D21,None,235674.2
A,1,92,M,Dp17,T21,None,252814
A,1,93,M,Dp17,T21,None,188936.7
A,1,94,M,Dp17,T21,None,251229.1
A,1,95,M,Dp17,D21,None,311775.2
A,2,96,F,Dp17,T21,None,409887.2
A,2,97,F,Dp17,D21,None,190609.7
A,1,98,F,Dp17,D21,None,263219.3
A,1,99,F,Dp17,T21,None,48669.58
A,1,107,M,Dp16,T21,None,352637.3
A,1,108,M,Dp16,D21,None,156249.6
A,1,109,F,Dp16,T21,None,233278.7
A,1,110,F,Dp16,D21,None,360502.3
A,2,116,M,Dp10,D21,None,328131.7
A,1,117,M,Dp10,T21,None,235927
A,1,118,M,Dp10,T21,None,159607.4
A,1,119,M,Dp10,T21,None,282470.7
A,2,120,M,Dp10,D21,None,391435.5
A,1,126,M,Dp10,T21,None,256657.9
A,1,127,F,Dp10,T21,None,580422.4
A,1,128,F,Dp10,T21,None,325034.5
A,1,129,M,Dp17,T21,None,112800.1
A,1,130,F,Dp17,D21,None,115603.1
A,2,131,F,Dp17,T21,None,344513.6
A,2,132,F,Dp17,D21,None,132516
A,2,133,F,Dp17,T21,None,524003.7
A,2,224,F,Dp17,T21,None,463427.8
A,1,225,F,Dp17,T21,None,411754.4
A,1,228,F,Dp17,T21,None,332553.2
A,1,229,F,Dp17,T21,None,391989.2
A,1,243,M,Dp16,T21,None,254232.6
A,1,269,F,Dp16,T21,None,1452766
A,2,270,M,Dp16,D21,None,250409.6
A,2,271,M,Dp16,D21,None,325408.2
A,2,272,M,Dp17,D21,None,287447
A,2,274,M,Dp17,T21,None,97284.62
A,2,281,M,Dp10,T21,None,311121.8
A,2,282,F,Dp10,D21,None,529552.8
A,2,283,F,Dp10,T21,None,397014.8
A,2,285,M,Dp16,T21,None,335285.8
A,2,286,M,Dp16,T21,None,982512.5
A,1,287,M,Dp16,T21,None,374420.7
A,1,288,M,Dp16,D21,None,332338.7
A,1,289,M,Dp16,T21,None,303674.7
A,1,290,F,Dp16,T21,None,700774.3
A,1,291,F,Dp16,D21,None,220727.9
A,2,409,M,Dp10,T21,None,361332.4
A,2,412,F,Dp10,T21,None,942705.6
A,2,413,F,Dp10,T21,None,726754.5
A,2,414,F,Dp10,T21,None,867110
A,2,425,F,Dp16,T21,None,630064.4
A,2,426,F,Dp16,D21,None,674838.2
A,2,427,F,Dp16,T21,None,1864124
A,2,431,F,Dp16,T21,None,346401.7
A,2,433,F,Dp16,T21,None,1652022
A,2,445,M,Dp17,T21,None,143593.5
A,2,446,M,Dp17,T21,None,438704
A,2,447,F,Dp17,T21,None,756490.8
A,2,463,F,Dp17,T21,None,606656.1
A,2,464,M,Dp17,T21,None,250710.5
A,2,470,M,Dp16,T21,None,667014.1
A,1,T0_282141,F,Dp16,T21,None,411084.3
A,1,T2_290592,F,Dp16,T21,None,179910.6
A,2,T2_53190,M,Dp16,T21,None,237386.9
A,1,T4_281349,F,Dp17,D21,None,587101.3
A,2,T4_53188,M,Dp16,T21,None,254214.1
A,1,T5_281349,F,Dp17,T21,None,74617.9
B,2,168,M,Dp16,D21,Sham,1398741
B,2,169,M,Dp16,D21,Poly I:C,1222894
B,1,170,F,Dp16,T21,Poly I:C,1325288
B,1,172,F,Dp16,T21,Poly I:C,1107272
B,1,173,F,Dp16,D21,Sham,864871.8
B,1,174,F,Dp16,D21,Poly I:C,1153462
B,1,175,F,Dp16,T21,Sham,821150.8
B,1,177,F,Dp16,T21,Poly I:C,524486
B,1,178,F,Dp16,D21,Poly I:C,242021.8
B,1,179,F,Dp16,D21,Sham,730306.1
B,1,183,F,Dp16,T21,Sham,736219.3
B,1,184,F,Dp16,D21,Sham,391530.5
B,1,185,F,Dp16,D21,Poly I:C,678697.1
B,1,188,F,Dp16,T21,Sham,439018.3
B,2,206,M,Dp16,D21,Sham,631601.4
B,2,208,M,Dp16,T21,Sham,497115
B,2,209,M,Dp16,D21,Sham,732289.8
B,2,210,M,Dp16,D21,Poly I:C,965297.1
B,2,211,M,Dp16,T21,Sham,1274283
B,2,212,M,Dp16,T21,Sham,354946.8
B,2,213,M,Dp16,D21,Sham,852565
B,3,285,M,Dp16,T21,Sham,2221610
B,3,286,M,Dp16,T21,Poly I:C,12983170
B,3,287,M,Dp16,T21,Poly I:C,36500260
B,3,288,M,Dp16,D21,Poly I:C,8046800
B,3,289,M,Dp16,T21,Poly I:C,21539420
B,3,327,M,Dp16,D21,Sham,2006747
B,3,328,M,Dp16,D21,Poly I:C,22676730
B,3,329,M,Dp16,D21,Poly I:C,9595467
